areaId	areaName	round	ballots	totalPts	Chris ALEXANDER	Maxime BERNIER	Steven BLANEY	Michael CHONG	Kellie LEITCH	Pierre LEMIEUX	Deepak OBHRAI	Kevin O'LEARY	Erin O'TOOLE	Rick PETERSON	Lisa RAITT	Andrew SAXTON	Andrew SCHEER	Brad TROST	Undervotes	Remainder
309	Burnaby North–Seymour	0	290	99.99993	0.013793109655177	0.30344841241389	0	0.13793109655177	0.06206894344826	0.058620641034449	0	0.010344807241365	0.1068965748276	0.0068965048275534	0.02068961448273	0.044827531379272	0.16206901344831	0.072413750689625	0	0.00007
309	Burnaby North–Seymour	1		99.99993	0.013793109655177	0.30344841241389	0	0.13793109655177	0.06206894344826	0.058620641034449	0	0.010344807241365	0.1068965748276	0.0068965048275534	0.02068961448273	0.044827531379272	0.16206901344831	0.072413750689625	0	0.00007
309	Burnaby North–Seymour	2		99.99995	0.020761210380605	0.31141875570938	0	0.13840836920418	0.065743932871966	0.058823529411765	0	0.010380605190303	0.12110726055363	0.0069204034602017	0.020761210380605	0	0.17301038650519	0.072664336332168	1	0.00005
309	Burnaby North–Seymour	3		99.99995	0.020761210380605	0.31141875570938	0	0.14186857093429	0.065743932871966	0.058823529411765	0	0.010380605190303	0.12110726055363	0	0.024221412110706	0	0.17301038650519	0.072664336332168	1	0.00005
309	Burnaby North–Seymour	4		99.99996	0.020761208304483	0.32179942871977	0	0.14186855674742	0.065743926297571	0.058823523529409	0	0	0.1211072484429	0	0.024221409688564	0	0.17301036920415	0.072664329065732	1	0.00004
309	Burnaby North–Seymour	5		99.99997	0	0.32986119895836	0.0034722010416603	0.14236114270834	0.065972219791666	0.059027717708315	0	0	0.12847223854167	0	0.024305507291652	0	0.17361115208335	0.072916621874987	2	0.00003
309	Burnaby North–Seymour	6		99.99997	0	0.33333340000002	0	0.14236114270834	0.065972219791666	0.059027717708315	0	0	0.12847223854167	0	0.024305507291652	0	0.17361115208335	0.072916621874987	2	0.00003
309	Burnaby North–Seymour	7		99.99996	0	0.33680563472225	0	0.14583335833334	0.069444427777771	0.059027723611089	0	0	0.13194445277778	0	0	0	0.18055557222223	0.076388830555532	2	0.00004
309	Burnaby North–Seymour	8		99.99997	0	0.34027780208334	0	0.14583334375	0.069444420833326	0	0	0	0.13541664062499	0	0	0	0.21875006562502	0.090277727083318	2	0.00003
309	Burnaby North–Seymour	9		99.99997	0	0.36524830957449	0	0.14893614468084	0	0	0	0	0.14893614468084	0	0	0	0.23404257021277	0.10283683085105	8	0.00003
309	Burnaby North–Seymour	10		99.99998	0	0.39560437912088	0	0	0	0	0	0	0.21611724322345	0	0	0	0.26739925347985	0.12087912417582	17	0.00002
309	Burnaby North–Seymour	11		99.99999	0	0.42307694230769	0	0	0	0	0	0	0.23846152384615	0	0	0	0.33846153384615	0	30	0.00001
309	Burnaby North–Seymour	12		99.99999	0	0.51037345103735	0	0	0	0	0	0	0	0	0	0	0.48962654896265	0	49	0.00001
310	Burnaby South	0	327	99.99996	0.0091743036697215	0.18348627339451	0.006116202446481	0.094801237920495	0.058103923241569	0.073394429357772	0.006116202446481	0.006116202446481	0.10091744036698	0.0030581012232405	0.006116202446481	0.0091743036697215	0.10397554159022	0.33944963577985	0	0.00004
